CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
-187500.01117587156,-24037.779810296288,187499.98882412844,187499.98882412844,-187500.01117587156,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-18138.68541352066,187499.98882412844,187499.98882412844,-187500.01117587156,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-26560.174021731258,187499.98882412844,187499.98882412844,-174248.78026537778,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-50945.43403061831,187499.98882412844,187499.98882412844,-165929.23795755135,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-46424.25754214868,187499.98882412844,187499.98882412844,-160319.7997999072,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-41589.93313252527,187499.98882412844,187499.98882412844,-159649.40396841787,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-20257.496551126038,187499.98882412844,187499.98882412844,-157883.07981986282,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,2383.9028110446225,187499.98882412844,187499.98882412844,-150510.69262687518,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-5671.553651783088,187499.98882412844,187499.98882412844,-139895.22396893645,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,3762.0442367818496,187499.98882412844,187499.98882412844,-127819.18065662267,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-1254.9162658999126,187499.98882412844,187499.98882412844,-125212.34155966887,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-5458.519188077401,187499.98882412844,187499.98882412844,-110341.39158376405,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-10768.443987872839,187499.98882412844,187499.98882412844,-95635.48687907975,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-13987.206756306097,187499.98882412844,182022.0459712771,-89791.958915708,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-17608.166790495325,187499.98882412844,156533.68273578183,-88077.73668037276,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-24399.743938430784,187499.98882412844,151798.75652782657,-83866.28829635907,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-29803.300190168633,187499.98882412844,155191.0582298671,-78929.23527534217,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-29807.9270009951,187499.98882412844,160856.0851726583,-77606.86144869695,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-31956.600067412855,187499.98882412844,166416.97534423918,-80221.92598712003,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-29487.246542408855,187499.98882412844,171934.41372718892,-81613.47845873109,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-28693.245571449133,187499.98882412844,166350.32244624628,-84303.354281387,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-29609.756446466232,187499.98882412844,162069.181327175,-85616.22861720494,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-31610.72919432695,187499.98882412844,156884.00160574922,-87236.90880757026,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-30950.928089077956,187499.98882412844,153287.8743581697,-87879.78964327511,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-31237.835063805287,187499.98882412844,151312.22613526738,-84806.71553651783,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-27791.799771296963,187499.98882412844,155988.83664541462,-79689.50746592923,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-31665.75918589587,187499.98882412844,156726.75709287863,-73809.36734732195,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-34899.7211396528,187499.98882412844,149876.30545355708,-72428.94604378617,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-33248.262599007045,187499.98882412844,146015.42180868518,-71868.65489892094,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-30483.57549211833,187499.98882412844,142915.72677586833,-69631.5136332222,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-26643.456616607702,187499.98882412844,139894.7992858171,-65229.695453029606,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-187500.01117587156,-25801.488804905937,187499.98882412844,135458.96175259122,-63527.029068888965,-187500.01117587156,-187500.01117587156,187499.98882412844,0
-99609.38093718178,16630.14391840362,82031.23253770068,-15941.799637186505,164071.8975109993,91826.07929862018,42070.22738875314,89794.75288359838,0
23437.501396983946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-105374.92366879723,187499.98882412844,116468.36200167907,147.5438563551817,-30618.602372324607,-74356.22509457023,-60497.80908213908,54505.48556479726,0
-104308.43259742454,187499.98882412844,114949.94103610163,131.45060130659348,-30114.883489303797,-73442.68700138849,-59359.56891534143,53912.873799376124,0
0.0,0.0,0.0,0.0,164062.50977888762,67947.19803018558,140624.98603016054,-65390.493893056744,0
-101189.96210038436,187499.98882412844,110479.43594929193,40.41195156645486,-29206.575704012852,-72126.05757272585,-57201.7986894726,52867.28160782347,0
-100151.4330596586,187499.98882412844,109131.22350759647,118.26307286400038,-28650.956073460344,-71433.62292251723,-56489.38158091197,52572.797392177425,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-99155.95347618779,187499.98882412844,107713.67595873332,112.49632313825626,-28048.241320147594,-70870.38134755977,-55867.91371511899,52420.82789068388,0
-98190.8499116212,187499.98882412844,106494.96951669273,102.28157653102735,-27702.7727784379,-70361.87919151063,-55255.67711923582,52279.78839157751,0
-97288.04065513854,187499.98882412844,105643.92689728302,79.39339157303522,-27721.861167064973,-69697.47362717829,-54578.5757648096,51712.67996505975,0
-96427.96793150711,187499.98882412844,104968.3901648754,31.87358569345389,-27955.146310040138,-69077.48097643143,-53942.55691424352,51199.550998184146,0
-95647.31095119183,187499.98882412844,104388.45183780503,38.02031505228967,-28216.147614487865,-68485.02567321216,-53240.22044183138,50560.17938614961,0
-94924.76850299648,187499.98882412844,103862.6047290924,33.75113211578918,-28549.412104452378,-67903.29920669193,-52563.454363551995,49590.6948799309,0
-94195.8111045248,187499.98882412844,103381.08112699277,22.307039636793114,-28853.88754927442,-67306.93234842613,-51977.61517629714,48937.778111563806,0
-93482.58933321174,187499.98882412844,102772.33140303679,7.107854313126464,-29116.699344915112,-66802.36409916663,-51427.941109415355,48218.94605272687,0
-92809.7348099789,187499.98882412844,102515.77809547055,33.684076886420065,-29404.545092853612,-66199.06820053268,-51169.19733102305,47323.24465055732,0
-92196.06770253586,187499.98882412844,102244.87496881932,25.391580187772526,-29720.93401676023,-65890.63649717787,-50789.73178802322,46396.29551150176,0
