CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
3051.2588054692033,-3742.3299993473292,16242.654099622614,3001.6155839929334,331.49870225779426,-3748.1191008161964,-31439.02310365576,1803.6292078274016
2794.5713874442213,-5336.881002001822,15302.562135610708,2992.652535000595,286.9069747273311,-3548.0039446356263,-31152.786681222122,1770.0568896565967
2597.0266817228007,-8346.498510032803,15616.02298116821,2969.071446005788,307.35881968491196,-3402.4717451615184,-28558.352801701592,1710.0201076281135
2394.1846128812203,-10743.74531172188,14582.567786131369,3004.074275736468,224.36679746906742,-3276.6984866081766,-33707.74738238736,1705.4603520310136
2052.2923500712127,-11994.101822024693,15538.28361858628,3014.31137408682,210.91104810899785,-3204.480004577637,-35034.144522794755,1752.8013439656106
1926.0497049122873,-12054.652694145007,15442.349937102195,3023.587347482881,76.08533359082541,-3087.021594466066,-34841.763069734756,1903.2062234405412
2009.779334651192,-12377.858899704152,14791.333066900555,2959.683713894112,53.51007303655583,-2961.4271498577086,-31125.517554612015,1678.3029841365208
2089.2844849398425,-11211.276722626491,15180.655728617652,2923.0268551723275,80.64508918792541,-2828.5236852481175,-29219.025624932387,1597.0767496273963
2024.531485112398,-11393.21991164803,14312.469322232562,2888.091080671017,-20.921231563164685,-2724.297507065386,-32067.062381926913,1730.7178217600476
1970.373211525274,-10491.215317917782,13413.482213823927,2892.1590979194107,-112.5186748813793,-2619.0878521852405,-32218.92012470484,1883.201413345421
1798.085975532888,-10054.305795091737,13029.702784401345,2916.835422327246,-123.53808424103762,-2483.680992345869,-31403.305018145144,2001.4421344662983
1809.0159779200542,-8290.619152225205,12646.973886905544,2865.694634061732,-166.96752112910278,-2361.774585352813,-32820.4725873752,2019.9940812584211
1665.1154556939277,-7208.235991492033,12408.436084296469,2814.844418456818,-238.06841600349046,-2234.861387900197,-31363.40715667052,2075.6722733779116
1504.36171915303,-8069.71687494021,12134.001382231794,2808.0047850611677,-221.37166389058018,-2163.067588988995,-32662.535170467807,2206.631136335798
1485.1839235534621,-8213.95267331318,11949.845370641075,2783.440219368948,-210.97810333836696,-2073.2135816343775,-32933.19242794469,2292.484181671392
1485.4074409846926,-10069.884960048495,11880.040876867823,2761.624918080862,-273.02654224792377,-1937.6726113362677,-33171.30554743442,2349.078795258927
1434.1101905173175,-11235.729529603095,11286.535041721763,2751.119598813033,-362.2099973088501,-1853.540650221148,-34238.020136238345,2574.987863003484
1407.1763400540553,-11399.411344493112,11444.517162115404,2729.2595940387005,-356.08561969313735,-1771.956787822055,-35026.2320057292,2551.406774008678
1344.6361627957917,-10690.257590428448,11173.591683721046,2702.795130181022,-379.73376391731284,-1693.2786520289571,-35374.874494962365,2688.802938986
1291.662531594189,-9726.562185678613,10651.23144693562,2656.459966686962,-373.1623514391393,-1624.9717250449494,-34985.462426272774,2747.2750989958704
1271.4342040678384,-8920.424218203081,9422.332610030926,2615.7797942030306,-387.5345222672535,-1534.693034570994,-36545.189413141576,2801.612186527979
1332.9014976561962,-8568.808947134552,8866.914145166525,2648.569801364529,-406.06411731625303,-1501.0313094276971,-36017.688275437846,2593.0480714469
1299.4856416872526,-7563.360486230879,9712.145311364253,2641.126670904557,-421.0174334655663,-1446.9177393268192,-35285.40046724084,2555.1842185964715
1294.9705895763987,-5064.167384157621,10152.385243915633,2668.775777147757,-437.8035925509687,-1412.3172409723545,-36065.96804058361,2690.9934098120575
1160.2566337738415,-4343.949517247052,10026.924909766014,2626.106299525875,-473.7228437496927,-1342.8480233459486,-37258.165315280276,2588.533019336046
1020.5358875117236,-3628.55962685106,9950.504300028342,2607.1520213575373,-486.23981989859465,-1285.940485354691,-37757.592663621464,2405.963981507062
949.5691030960741,-2887.331121404834,10098.986929594692,2617.6796923684888,-461.2505710870368,-1259.654835441997,-38068.50541046294,2308.420974518119
896.5060649219789,-2385.2439156320047,10307.819265593247,2566.71771804796,-508.3680455904034,-1222.4615348852597,-38383.50852629593,2060.3613293386297
866.3982669352451,-2090.089147692272,9849.94380771779,2579.1899907106153,-567.1978334902426,-1184.6647372642,-38289.69826040854,2024.9338164886128
886.4477805166114,-1183.8377227686478,9653.695503097504,2556.078288321393,-589.0578382645749,-1159.0496396451974,-38640.575923954006,1995.2954051074626
840.5596518850119,-946.4845625450946,9646.542945298132,2568.9752441033866,-629.603900289768,-1130.864091567045,-38406.3743595108,1814.8721346182904
764.8990014135243,-1537.554057690743,9792.343365689716,2584.599112546391,-680.4764676378052,-1111.8874616555847,-39332.183559667086,1637.1087215607597
688.4783916758532,-735.3276452617433,9314.664263407247,2569.154058048371,-655.2637013950169,-1080.5503177970838,-41226.158513197806,1506.619245208457
645.0713065309111,-174.74592773592042,9082.831983735085,2579.1005837381235,-674.5756074533228,-1066.2004987120924,-42382.90592330134,1307.8228418721462
626.9216911150033,103.64503286153274,9334.758480474859,2556.167695293885,-666.9089595621205,-1036.137404211605,-41156.979868232,1205.2059891942733
552.7586074327593,657.2083030467214,9194.411885405296,2533.4136207946312,-678.7777351604542,-1014.8138412722255,-40282.35615982748,1076.5270040349367
509.820908893401,1060.232583298241,8824.155260572152,2537.8839694192393,-680.0517845184675,-1004.0626528300435,-41889.42413863087,942.5059522691937
407.8075532798501,1629.0844457795886,8923.039372148476,2538.688632171669,-632.0402402901793,-995.3678247551813,-41298.84638183393,826.410998488128
339.8135506995648,1837.0450637963452,8573.21224052979,2539.3591844653597,-613.5106452411798,-979.6098458534387,-41883.65738890513,783.7862243524924
323.4520747335002,1779.6010839701344,8426.897730046376,2541.9966901538783,-609.4649797359097,-983.5884561293396,-42630.3620714165,544.3543520184966
-404.05246043517946,-496.186345588347,19599.37182661127,-499.00266522184995,-585.7721320254881,-623.2560052428248,-486.5303925591941,-490.95603769755587
-410.53446594086085,-509.93266760901616,20102.442509081513,-501.50606045163033,-587.6496784478234,-628.1286852436475,-429.06406098986037,-485.68102632051864
-400.4761815354932,-502.06485402970634,19523.487658708553,-511.0726065082912,-592.9917450542298,-627.6816503811867,-419.9669015387834,-492.00656962433874
